"Original System";"Title";"Year";"Publisher";"Developer";"Europe";"US";"Japan"
NA;"2 Jeux en 1: Titeuf: Ze gag machine + Titeuf: Méga compet";"???";"Atari";"Unknown";"";"x";"x"
NA;"2 Jeux en 1: V-Rally 3 + Stuntman";"???";"Atari";"Unknown";"";"x";"x"
NA;"2 Pack Special: Soccer + Super Sprint";"???";"Magexa";"Unknown";"";"x";"x"
NA;"2-in-1 Combo Pack: Madagascar + Shrek Super Slam";"???";"Activision";"Unknown";"x";"";"x"
NA;"2-in-1 Fun Pack: Madagascar & Shrek 2";"???";"Activision";"Unknown";"";"";"x"
NA;"2-in-1 Party Pack: Shrek's Carnival Craze: Party Games + Madagascar Kartz";"???";"Activision";"Unknown";"x";"";"x"
NA;"2-In-1: My Pet School + Best Friends: My Horse";"???";"dtp young entertainment";"";"";"x";"x"
NA;"2-In-1: My Vet Practice + My Pet Hotel 2";"???";"dtp young entertainment";"";"";"";"x"
NA;"2-Pack: Pinkalicious: It's Party Time! + Silverlicious: Sweet Adventure";"???";"GameMill";"Unknown";"x";"";"x"
NA;"2002 FIFA World Cup";"???";"EA Sports";"Unknown";"";"";"x"
NA;"2010 FIFA World Cup South Africa";"???";"EA";"Unknown";"";"";"x"
NA;"2010: The Action Game";"???";"CBS";"Coleco";"";"";"x"
NA;"21 Card Games";"???";"Phoenix Games";"Unknown";"";"x";"x"
NA;"24: The Game";"???";"Sony";"Unknown";"";"";"x"
NA;"25 to Life";"???";"Eidos";"Unknown";"";"";"x"
NA;"3 For 1 Value Pack: Volume #1: Battle Hunter + Bowling + Crossroad Crisis";"???";"Tommo";"Unknown";"x";"";"x"
NA;"3 For 1 Value Pack: Volume #2: Kickboxing + Billiards + Shooter: Starfighter Sanvein";"???";"Tommo";"Unknown";"x";"";"x"
NA;"3 For 1 Value Pack: Volume #3: Snowboarding + All-Star Slammin' D-Ball + Shooter: Space Shot";"???";"Tommo";"Unknown";"x";"";"x"
NA;"3 For 1 Value Pack: Volume #4: Putter Golf + Tennis + Boxing";"???";"Tommo";"Unknown";"x";"";"x"
NA;"3 For 1 Value Pack: Volume #5: Card Games + Racing + Board Game: Top Shop";"???";"Tommo";"Unknown";"x";"";"x"
NA;"3 For 1 Value Pack: Volume #6: Chess + The King of Fighters '99 + Puzzle: Star Sweep";"???";"Tommo";"Unknown";"x";"";"x"
NA;"3 Free Games: Virtua Fighter 2 + Virtua Cop + Daytona USA";"???";"Sega";"Unknown";"x";"";"x"
NA;"3 Game Pack: Candy Land + Chutes and Ladders + Memory";"???";"DSI";"Unknown";"x";"";"x"
NA;"3 Game Pack: Ker Plunk! + Toss Across + Tip It";"???";"DSI";"Unknown";"x";"";"x"
NA;"3 Game Pack: Mousetrap + Simon + Operation";"???";"DSI";"Unknown";"x";"";"x"
NA;"3 Game Pack: The Game of Life + Yahtzee + Payday";"???";"DSI";"Unknown";"x";"";"x"
NA;"3 Games in 1: Rugrats: I Gotta Go Party + SpongeBob Squarepants: SuperSponge + Tak and the Power of Juju";"???";"THQ";"Unknown";"";"x";"x"
NA;"3 in 1: Solitaire Mahjong & Tangram";"???";"Deep Silver";"";"";"";"x"
NA;"3-D Tic-Tac-Toe";"???";"Atari";"Unknown";"";"";"x"
NA;"3-D WorldRunner";"???";"Acclaim";"Unknown";"x";"";"x"
NA;"300: March to Glory";"???";"Warner Bros. Games";"Unknown";"";"";"x"
NA;"32 in 1";"???";"Atari";"Unknown";"";"x";"x"
NA;"3D Atlas";"???";"Electronic Arts";"Unknown";"x";"";"x"
NA;"3D Baseball";"???";"Crystal Dynamics";"Unknown";"x";"";"x"
NA;"3D Crazy Coaster";"???";"GCE";"Unknown";"x";"";"x"
NA;"3D Mine Storm";"???";"GCE";"Unknown";"x";"";"x"
NA;"3D Narrow Escape";"???";"GCE";"Unknown";"x";"";"x"
NA;"3D Pocket Pool";"???";"Virgin Interactive";"Aardvark, lo-lite";"";"x";"x"
NA;"3DO Action Pak";"???";"3DO";"Unknown";"x";"";"x"
NA;"3DO Maniac Pack";"???";"Interplay";"Unknown";"x";"";"x"
NA;"The 3rd Birthday";"???";"Square Enix";"Unknown";"";"";"x"
NA;"3Xtreme";"???";"989 Studios";"Unknown";"x";"";"x"
NA;"4 Game Pack: Clue + Mouse Trap + Perfection + Aggravation";"???";"DSI";"Unknown";"x";"";"x"
NA;"4 Game Pack! Battleship + Connect Four + Sorry! + Trouble Game";"???";"DSI";"Unknown";"x";"";"x"
NA;"4 Games in 1: GT Advance + GT Advance 2 + GT Advance 3 + MotoGP";"???";"THQ";"Unknown";"x";"";"x"
NA;"4 Games in 1: Rocket Power: Zero Gravity Zone + Nicktoons: Freeze Frame Frenzy + SpongeBob SquarePants: SuperSponge + The Fairly Odd Parents! Shadow Showdown";"???";"THQ";"Unknown";"x";"";"x"
NA;"4 in 1 Row";"???";"Philips";"Philips";"";"x";"x"
NA;"4 in 1: Cave Wonders + Earth Defender + Jaguar Bomber + Soccer Champion";"???";"Watara";"Unknown";"";"";"x"
NA;"4 in 1: Cube-Up + Mini- Golf + Vindicators + Brick Master";"???";"Bit Corporation";"Unknown";"";"";"x"
NA;"4 in 1: Hash Block + Jacky Lucky + Challenger Tank + Brain Power";"???";"Watara";"Unknown";"";"";"x"
NA;"4-in-1 Fun Pak";"???";"Interplay";"Beam Software";"";"";"x"
