"Original System";"Title";"Year";"Publisher";"Developer";"Europe";"US";"Japan"
"SonyPlayStation";"2 Games: Bust-A-Move 2 + Bust-A-Move 3 DX";NA;"505 GameStreet";"Taito";1;0;0
"SonyPlayStation";"2 Games: Destruction Derby Raw + Porsche Challenge";NA;"Sony";"Unknown";1;0;0
"SonyPlayStation";"2 Games: Driver 2: Back on the Streets + Driver";NA;"Atari";"Reflections";1;0;0
"SonyPlayStation";"2 Games: Syphon Filter 2 + In Cold Blood";NA;"Sony";"Unknown";1;0;0
"SonyPlayStation";"2 Games: Tekken + Ridge Racer";NA;"Sony";"Namco";1;0;0
"SonyPlayStation";"2 Games: TOCA World Touring Cars + Jonah Lomu Rugby";NA;"Codemasters";"Codemasters";1;0;0
"SonyPlayStation";"2 Games: Tomb Raider III: Adventures of Lara Croft + Tomb Raider: The Last Revelation";NA;"Eidos";"Core";1;0;0
"SonyPlayStation";"2 Games: Tomb Raider: The Last Revelation + Tomb Raider: Chronicles";NA;"Eidos";"Core";1;0;0
"SonyPlayStation";"2 Games: Who Wants to Be A Millionaire + Who Wants to Be A Millionaire: 2nd Edition";NA;"Eidos";"Celador";1;0;0
"SonyPlayStation";"2 Giochi Inclusi: Looney Tunes: Ralph il Lupo all' Attacco + La Collana Die Tuoi Eroi Preferiti";NA;"Konami";"Unknown";1;0;0
"NintendoGameBoyAdvance";"2 in 1 Game Pack: Shark Tale + Shrek 2";NA;"Activision";"Unknown";1;1;0
"NintendoGameBoyAdvance";"2 in 1 Game Pack: Shrek 2 & Madagascar: Operation Penguin";NA;"Activision";"Unknown";1;1;0
"NintendoGameBoyAdvance";"2 in 1 Game Pack: Spider-Man: Mysterio's Menace & X-Men 2: Wolverine's Revenge";NA;"Activision";"Unknown";1;1;0
"WataraSupervision";"2 in 1: Cross High + Block Buster";NA;"Watara";"Unknown";1;1;0
"WataraSupervision";"2 in 1: Hash Block + Eagle Plan";NA;"Watara";"Unknown";1;1;0
"SonyPlayStation";"2 Jeux + 2 Cartes Memoire: Baby Felix Tennis + CT Special Forces";NA;"LSP";"Unknown";1;0;0
"NintendoGameBoyAdvance";"2 Jeux en 1: Astérix & Obélix: Paf! Par Toutatis! + Astérix & Obélix XXL";NA;"Atari";"Unknown";1;0;0
"NintendoGameBoyAdvance";"2 Jeux en 1: Titeuf: Ze gag machine + Titeuf: Méga compet";NA;"Atari";"Unknown";1;0;0
"NintendoGameBoyAdvance";"2 Jeux en 1: V-Rally 3 + Stuntman";NA;"Atari";"Unknown";1;0;0
"NES";"2 Pack Special: Soccer + Super Sprint";NA;"Magexa";"Unknown";1;0;0
"NintendoDS";"2-in-1 Combo Pack: Madagascar + Shrek Super Slam";NA;"Activision";"Unknown";0;1;0
"NintendoGameBoyAdvance";"2-in-1 Fun Pack: Madagascar & Shrek 2";NA;"Activision";"Unknown";1;1;0
"NintendoDS";"2-in-1 Party Pack: Shrek's Carnival Craze: Party Games + Madagascar Kartz";NA;"Activision";"Unknown";0;1;0
"NintendoDS";"2-In-1: My Pet School + Best Friends: My Horse";NA;"dtp young entertainment";"";1;0;0
"NintendoDS";"2-In-1: My Vet Practice + My Pet Hotel 2";NA;"dtp young entertainment";"";1;1;0
"NintendoDS";"2-Pack: Pinkalicious: It's Party Time! + Silverlicious: Sweet Adventure";NA;"GameMill";"Unknown";0;1;0
"SonyPlayStation2";"2002 FIFA World Cup";NA;"EA Sports";"Unknown";1;1;0
"SonyPlayStationPortable";"2010 FIFA World Cup South Africa";NA;"EA";"Unknown";1;1;0
"CBSColecoVision";"2010: The Action Game";NA;"CBS";"Coleco";1;1;0
"SonyPlayStation2";"21 Card Games";NA;"Phoenix Games";"Unknown";1;0;0
"SonyPlayStation2";"24: The Game";NA;"Sony";"Unknown";1;1;0
"SonyPlayStation2";"25 to Life";NA;"Eidos";"Unknown";1;1;0
"SonyPlayStation";"3 For 1 Value Pack: Volume #1: Battle Hunter + Bowling + Crossroad Crisis";NA;"Tommo";"Unknown";0;1;0
"SonyPlayStation";"3 For 1 Value Pack: Volume #2: Kickboxing + Billiards + Shooter: Starfighter Sanvein";NA;"Tommo";"Unknown";0;1;0
"SonyPlayStation";"3 For 1 Value Pack: Volume #3: Snowboarding + All-Star Slammin' D-Ball + Shooter: Space Shot";NA;"Tommo";"Unknown";0;1;0
"SonyPlayStation";"3 For 1 Value Pack: Volume #4: Putter Golf + Tennis + Boxing";NA;"Tommo";"Unknown";0;1;0
"SonyPlayStation";"3 For 1 Value Pack: Volume #5: Card Games + Racing + Board Game: Top Shop";NA;"Tommo";"Unknown";0;1;0
"SonyPlayStation";"3 For 1 Value Pack: Volume #6: Chess + The King of Fighters '99 + Puzzle: Star Sweep";NA;"Tommo";"Unknown";0;1;0
"SegaSaturn";"3 Free Games: Virtua Fighter 2 + Virtua Cop + Daytona USA";NA;"Sega";"Unknown";0;1;0
"NintendoGameBoyAdvance";"3 Game Pack: Candy Land + Chutes and Ladders + Memory";NA;"DSI";"Unknown";0;1;0
"NintendoGameBoyAdvance";"3 Game Pack: Ker Plunk! + Toss Across + Tip It";NA;"DSI";"Unknown";0;1;0
"NintendoGameBoyAdvance";"3 Game Pack: Mousetrap + Simon + Operation";NA;"DSI";"Unknown";0;1;0
"NintendoGameBoyAdvance";"3 Game Pack: The Game of Life + Yahtzee + Payday";NA;"DSI";"Unknown";0;1;0
"NintendoGameBoyAdvance";"3 Games in 1: Rugrats: I Gotta Go Party + SpongeBob Squarepants: SuperSponge + Tak and the Power of Juju";NA;"THQ";"Unknown";1;0;0
"NintendoDS";"3 in 1: Solitaire Mahjong & Tangram";NA;"Deep Silver";"";1;1;0
"AtariVCS";"3-D Tic-Tac-Toe";NA;"Atari";"Unknown";1;1;0
"NES";"3-D WorldRunner";NA;"Acclaim";"Unknown";0;1;0
"SonyPlayStationPortable";"300: March to Glory";NA;"Warner Bros. Games";"Unknown";1;1;0
"AtariVCS";"32 in 1";NA;"Atari";"Unknown";1;0;0
"3DOInteractiveMultiplayer";"3D Atlas";NA;"Electronic Arts";"Unknown";0;1;0
"SegaSaturn";"3D Baseball";NA;"Crystal Dynamics";"Unknown";0;1;0
"Vectrex";"3D Crazy Coaster";NA;"GCE";"Unknown";0;1;0
"Vectrex";"3D Mine Storm";NA;"GCE";"Unknown";0;1;0
"Vectrex";"3D Narrow Escape";NA;"GCE";"Unknown";0;1;0
"NintendoGameBoyColor";"3D Pocket Pool";NA;"Virgin Interactive";"Aardvark, lo-lite";1;0;0
"3DOInteractiveMultiplayer";"3DO Action Pak";NA;"3DO";"Unknown";0;1;0
"3DOInteractiveMultiplayer";"3DO Maniac Pack";NA;"Interplay";"Unknown";0;1;0
"SonyPlayStationPortable";"The 3rd Birthday";NA;"Square Enix";"Unknown";1;1;0
"SonyPlayStation";"3Xtreme";NA;"989 Studios";"Unknown";0;1;0
"NintendoDS";"4 Game Pack: Clue + Mouse Trap + Perfection + Aggravation";NA;"DSI";"Unknown";0;1;0
"NintendoDS";"4 Game Pack! Battleship + Connect Four + Sorry! + Trouble Game";NA;"DSI";"Unknown";0;1;0
"NintendoGameBoyAdvance";"4 Games in 1: GT Advance + GT Advance 2 + GT Advance 3 + MotoGP";NA;"THQ";"Unknown";0;1;0
"NintendoGameBoyAdvance";"4 Games in 1: Rocket Power: Zero Gravity Zone + Nicktoons: Freeze Frame Frenzy + SpongeBob SquarePants: SuperSponge + The Fairly Odd Parents! Shadow Showdown";NA;"THQ";"Unknown";0;1;0
"PhilipsVideopac";"4 in 1 Row";NA;"Philips";"Philips";1;0;0
"WataraSupervision";"4 in 1: Cave Wonders + Earth Defender + Jaguar Bomber + Soccer Champion";NA;"Watara";"Unknown";1;1;0
"BitCorporationGamate";"4 in 1: Cube-Up + Mini- Golf + Vindicators + Brick Master";NA;"Bit Corporation";"Unknown";1;1;0
"WataraSupervision";"4 in 1: Hash Block + Jacky Lucky + Challenger Tank + Brain Power";NA;"Watara";"Unknown";1;1;0
"NintendoGameBoy";"4-in-1 Fun Pak";NA;"Interplay";"Beam Software";1;1;0
"NintendoGameBoy";"4-in-1 Funpak: Volume II";NA;"Interplay";"Beam Software";1;1;0
"SegaDreamcast";"4x4 Evo";NA;"Gathering of Developers";"Unknown";1;1;0
"SonyPlayStation2";"4x4 Evo 2";NA;"BAM!";"Unknown";1;1;0
"SegaGameGear";"5 in One Fun Pak";NA;"Interplay";"Unknown";0;1;0
"SonyPlayStation2";"50 Cent: Bulletproof";NA;"Vivendi Universal";"Unknown";1;1;0
"SonyPlayStationPortable";"50 Cent: Bulletproof: G Unit Edition";NA;"Vivendi Universal Games";"Unknown";1;1;0
"NintendoDS";"50 Classic Games";NA;"Rondomedia";"cerasus.media";1;0;0
"NintendoDS";"50 More Classic Games";NA;"Destineer";"Unknown";0;1;0
"SegaMegaDrive";"6-Pak";NA;"Sega";"Unknown";0;1;0
"SonyPlayStation2";"7 Blades";NA;"Konami";"Unknown";1;0;0
"SonyPlayStation2";"7 Sins";NA;"Monte Cristo";"Unknown";1;0;0
"SonyPlayStation2";"7 Wonders of the Ancient World";NA;"Funsta";"Unknown";1;1;0
"NES";"720°";NA;"Mindscape";"Unknown";1;1;0
"NES";"8 Eyes";NA;"Taxan";"Unknown";0;1;0
"NintendoDS";"9 Hours, 9 Persons, 9 Doors";NA;"Aksys Games";"Unknown";0;1;0
"NintendoGameBoyColor";"A Bug's Life";NA;"Activision, Disney Interactive";"TierTex Design Studios";1;1;0
"PhilipsVideopac";"A Labyrinth Game / Supermind";NA;"Philips";"Philips";1;0;0
"SonyPlayStation2";"A Series of Unfortunate Events (Lemony Snicket's)";NA;"Activision";"Unknown";1;1;0
"SonyPlayStation2";"A Train 6";NA;"Midas";"Unknown";1;0;0
"AtariLynx";"A.P.B.";NA;"Atari";"Quicksilver Software";1;1;0
"NES";"Abadox: The Deadly Inner War";NA;"Milton Bradley";"Unknown";0;1;0
"NintendoGameBoyAdvance";"Ace Combat Advance";NA;"Atari";"Unknown";1;1;0
"SonyPlayStationPortable";"Ace Combat X: Skies of Deception";NA;"Sony";"Unknown";1;1;0
"SonyPlayStation2";"Ace Combat: Distant Thunder";NA;"Sony, Namco";"Unknown";1;1;0
"SonyPlayStationPortable";"Ace Combat: Joint Assault";NA;"Namco";"Unknown";1;1;0
"SonyPlayStation2";"Ace Combat: Squadron Leader";NA;"Sony, Namco";"Unknown";1;1;0
"SonyPlayStation2";"Ace Combat: The Belkan War";NA;"Sony, Namco";"Unknown";1;1;0
"NintendoGameBoyAdvance";"Ace Lightning";NA;"BBC";"Unknown";1;0;0
"SonyPlayStation2";"Ace Lightning";NA;"BBC Worldwide";"Unknown";1;0;0
"Atari7800";"Ace of Aces";NA;"Atari";"Atari";1;1;0
"SonyPlayStation";"Aces of the Air";NA;"Agetec";"Unknown";0;1;0
"SonyPlayStation2";"Aces of War";NA;"505 GameStreet";"Unknown";1;0;0
"AtariVCS";"Acid Drop";NA;"Salu";"Unknown";1;0;0
"NES";"Action 52";NA;"Active Enterprises";"Unknown";0;1;0
"SegaMegaDrive";"Action 52";NA;"Active Enterprises";"FarSight";0;1;0
"SonyPlayStation";"Action Game featuring Hercules + The Jungle Book: Groove Party + A Bug's Life";NA;"Sony";"Unknown";1;0;0
"SonyPlayStation2";"Action Girlz Racing";NA;"Metro 3D";"Unknown";1;1;0
"AtariVCS";"Action Man: Action Force";NA;"Parker Brothers";"Unknown";1;1;0
"SonyPlayStation2";"Action Man: Alpha Teens on Machines";NA;"blast!";"Unknown";1;0;0
"NintendoGameBoyAdvance";"Action Man: Robot Atak";NA;"Atari";"Unknown";1;0;0
"NintendoGameBoyColor";"Action Man: Search for Base X";NA;"THQ, Hasbro Interactive";"Unknown";1;1;0
"SonyPlayStationPortable";"Action Pack: Brothers in Arms: D-Day + Tom Clancy's Rainbow Six: Vegas: Limited Edition";NA;"Ubisoft";"Unknown";1;0;0
"SonyPlayStationPortable";"Action Pack: Driver 76 + Prince of Persia: Revelations: Limited Edition";NA;"Ubisoft";"Unknown";1;0;0
"SonyPlayStationPortable";"Action Pack: Prince of Persia: Revelations + Tom Clancy's Rainbow Six: Vegas + Driver 76: Limited Edition";NA;"Ubisoft";"Unknown";1;0;0
"SonyPlayStationPortable";"Action Pack: Shaun White Snowboarding + Prince of Persia: Rival Swords: Limited Edition";NA;"Ubisoft";"Unknown";1;0;0
"SonyPlayStationPortable";"Action Pack: Tom Clancy's Splinter Cell: Essentials + Tom Clancy's Ghost Recon: Advanced Warfighter 2: Limited Edition";NA;"Ubisoft";"Unknown";1;0;0
"SonyPlayStation2";"Activision Anthology";NA;"Activision";"Unknown";1;1;0
"SonyPlayStation";"Activision Classic Games for the Atari 2600 (A Collection of...)";NA;"Activision";"Unknown";0;1;0
"AtariVCS";"The Activision Decathlon";NA;"Activision";"Unknown";1;1;0
"NintendoGameBoy";"The Addams Family";NA;"Ocean";"Ocean";1;1;0
"NECPCEngine";"The Addams Family";NA;"NEC";"Unknown";0;1;0
"NES";"The Addams Family: Pugsley's Scavenger Hunt";NA;"Ocean";"Enigma Variations";1;1;0
"NintendoGameBoyAdvance";"Advance Guardian Heroes";NA;"Ubi Soft";"Unknown";1;1;0
"NintendoGameBoyAdvance";"Advance Wars";NA;"Nintendo";"Unknown";1;1;0
"NintendoGameBoyAdvance";"Advance Wars 2: Black Hole Rising";NA;"Nintendo";"Unknown";1;1;0
"MattelIntellivision";"Advanced Dungeons & Dragons";NA;"Mattel";"Unknown";1;1;0
"MattelIntellivision";"Advanced Dungeons & Dragons: Treasure of Tarmin";NA;"Mattel";"Unknown";0;1;0
"AtariVCS";"Adventure";NA;"Atari";"Unknown";1;1;0
"NES";"Adventure Island 3";NA;"Hudson";"Unknown";0;1;0
"NintendoGameBoy";"Adventure Island II";NA;"Hudson Soft";"Hudson Soft";1;1;0
"NintendoGameBoyColor";"The Adventure of the Smurfs";NA;"Infogrames";"Infogrames";1;0;0
"NintendoDS";"Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!!";NA;"D3 Publisher";"Unknown";0;1;0
"NES";"Adventures of Dino Riki";NA;"Hudson";"Unknown";0;1;0
"NES";"The Adventures of Gilligan's Island";NA;"Bandai";"Unknown";0;1;0
"NintendoGameBoyAdvance";"The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron";NA;"THQ";"Unknown";1;1;0
"NintendoGameBoyAdvance";"The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies";NA;"THQ";"Unknown";1;1;0
"SonyPlayStation2";"The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies";NA;"THQ";"Unknown";1;1;0
"NintendoGameBoyAdvance";"The Adventures of Jimmy Neutron Boy Genius: Jet Fusion";NA;"THQ";"Unknown";1;1;0
"SonyPlayStation2";"The Adventures of Jimmy Neutron Boy Genius: Jet Fusion";NA;"THQ";"Unknown";1;1;0
"NintendoGameBoy";"Adventures of Lolo";NA;"Nintendo";"HAL Laboratory";1;0;0
"NES";"The Adventures of Rocky and Bullwinkle and Friends";NA;"THQ";"Unknown";0;1;0
"NintendoGameBoy";"The Adventures of Star Saver";NA;"Taito";"A Wave";1;1;0
"NES";"Adventures of Tom Sawyer";NA;"Seta";"Unknown";0;1;0
"AtariVCS";"Adventures on GX-12";NA;"Telegames";"Unknown";1;1;0
"SonyPlayStationPortable";"Adventures to Go!";NA;"Natsume";"Unknown";1;1;0
"SonyPlayStationPortable";"Aedis Eclipse: Generation of Chaos";NA;"NIS America";"Unknown";0;1;0
"SonyPlayStation2";"Aeon Flux";NA;"Majesco";"Unknown";1;1;0
"NECPCEngine";"Aero Blasters";NA;"NEC";"Unknown";0;1;0
"SonyPlayStation2";"Aero Elite: Combat Academy";NA;"Sega";"Unknown";0;1;0
"Nintendo64";"Aero Gauge";NA;"ASCII";"Unknown";1;1;0
"SuperNintendo";"Aero the Acro-Bat 2";NA;"Sunsoft";"Iguana";1;1;0
"Nintendo64";"Aerofighters Assault";NA;"Video System";"Unknown";1;1;0
"NintendoGameBoy";"Aerostar";NA;"Vic Tokai";"Vic Tokai";1;1;0
"SonyPlayStation2";"AFL Live 2003";NA;"Acclaim";"Unknown";1;0;0
"SonyPlayStation2";"AFL Live 2004";NA;"Acclaim";"Unknown";1;0;0
"SonyPlayStation2";"AFL Live: Premiership Edition";NA;"Acclaim";"Unknown";1;0;0
"SonyPlayStation2";"AFL Premiership 2005";NA;"Sony";"Unknown";1;0;0
"SonyPlayStation2";"AFL Premiership 2006";NA;"Sony";"Unknown";1;0;0
"SonyPlayStation2";"AFL Premiership 2007";NA;"Sony";"Unknown";1;0;0
"SonyPlayStationPortable";"After Burner: Black Falcon";NA;"Sega";"Unknown";1;1;0
"NintendoDS";"Again: Interactive Crime Novel";NA;"Tecmo";"Unknown";0;1;0
"NintendoGameBoyAdvance";"Agassi Tennis Generation";NA;"DreamCatcher";"Unknown";1;1;0
"SonyPlayStation2";"Agassi Tennis Generation";NA;"DreamCatcher";"Unknown";1;1;0
"SonyPlayStation2";"Age of Empires II: The Age of Kings";NA;"Konami";"Unknown";1;0;0
"SonyPlayStation2";"Agent Hugo";NA;"ITE Media";"Unknown";1;0;0
"SonyPlayStation2";"Agent Hugo: Hula Holiday";NA;"NDS Software";"Unknown";1;0;0
"SonyPlayStation2";"Agent Hugo: Lemoon Twist";NA;"ITE Media";"Unknown";1;0;0
"NintendoGameBoyAdvance";"Agent Hugo: Roborumble";NA;"ITE Media";"Unknown";1;0;0
"SonyPlayStation2";"Agent Hugo: RoboRumble";NA;"ITE Media";"Unknown";1;0;0
"NintendoGameBoyAdvance";"Aggressive Inline";NA;"Acclaim";"Unknown";1;1;0
"SonyPlayStation2";"Aggressive Inline featuring Taig Khris";NA;"Acclaim";"Unknown";1;1;0
"Nintendo64";"Aidyn Chronicles: The First Mage";NA;"THQ";"Unknown";1;1;0
"NintendoGameBoyAdvance";"L'Aigle de Guerre";NA;"Nintendo";"Unknown";1;0;0
"PhilipsVideopac+";"Air Battle";NA;"Philips";"Philips";1;0;0
"SegaMegaDrive";"Air Buster";NA;"Kaneko";"Unknown";0;1;0
"SuperNintendo";"Air Cavalry";NA;"GameTek";"Synergistic";1;1;0
"SonyPlayStationPortable";"Air Conflicts: Aces of World War II";NA;"Graffiti Entertainment";"Unknown";0;1;0
"SegaMegaDrive";"Air Diver";NA;"Seismic";"Unknown";0;1;0
"NES";"Air Fortress";NA;"HAL";"HAL";1;1;0
"AtariVCS";"Air Raid";NA;"Men-A-Vision";"Unknown";0;1;0
"SonyPlayStation2";"Air Raid 3";NA;"Phoenix Games";"Unknown";1;0;0
"AtariVCS";"Air Raiders";NA;"Telegames";"Unknown";1;1;0
"SonyPlayStation2";"Air Ranger: Rescue Helicopter";NA;"Midas";"Unknown";1;0;0
"NECPCEngine";"Air Zonk";NA;"TTI";"Unknown";0;1;0
"AtariVCS";"Air-Sea Battle";NA;"Atari";"Unknown";1;1;0
"PhilipsVideopac";"Air-Sea War / Battle";NA;"Philips";"Philips";1;1;0
"IntertonVC4000";"Air/Sea Battle";NA;"Interton";"Unknown";1;0;0
"AtariXEGS";"Airball";NA;"Atari";"Unknown";1;1;0
